Reference,Qty,Value,LCSC P/N,P/N
Q3,1,IRLML0030,C67272,IRLML0030TRPBF
D8,1,FAULT,C84263,NCD0603R1
"D1,D2",2,VBUS_IN,C7371904,XL-1608UBC-06A
D3,1,5V,C7371904,XL-1608UBC-06A
D4,1,24V,C7371904,XL-1608UBC-06A
"R5,R6,R7",3,33,C1356479,PWR263S-35-33R0F
J1,1,USB_C_Receptacle_USB2.0_16P,C393939,USB4105-GF-A
F1,1,5A,C3205238,3557-2
D9,1,B540C-13-F,C72264,B540C-13-F
IC1,1,CYPD3177-24LQXQ,C2959321,CYPD3177-24LQXQ
L1,1,10uH,C49672242,SDR1307-100ML
"Q1,Q2",2,SI7997DP-T1-GE3,C913432,SI7997DP-T1-GE3
D5,1,SMBJ24A-E3_52,C435936,SMBJ24A-E3/52
"D6,D7",2,SMBJ10A-E3_52,C1973203,SMBJ10A-E3/52
IC2,1,TPS55340PWP,C43862,TPS55340PWP
C1,1,10uF,C440198,GRM21BR61H106KE43K
"C2,C3,C4,C5,C6,C7",6,1uF,C15849,MLASU168SB5105KTNA01
"C8,C9",2,0.1uF,C14663,MLASH168SB7104KTNA01
"C10,C11",2,10uF,C3840574,GRM21BR61H106KE43K
"C12,C15",2,0.1uF,C6666325,MLASH168SB7104KTNA01
C13,1,0.047uF,C107093,CC0603KRX7R9BB473
C14,1,0.1nF,C14665,CC0603JRNPO9BN101
"C16,C17,C18",3,4.7uF,C6962403,08055D475KAT4A
"C19,C20",2,1uF,C559769,CC0603KRX7R9BB105
"J3,J4,J5,J6",4,575-4,C4944061,575-4 
"R1,R2,R22",3,3.3k,C2907023,CRCW06033K30FKTA
"R3,R10,R11,R16",4,1k,C21190,CRCW06031K00FKEI 
R4,1,4.3k,C2907165,CRCW06034K30FKEA
"R8,R9,R14,R15,R17",5,5.1k,C23186,CRCW06035K10FKEC 
R12,1,10k,C25804,CRCW060310K0FKEI 
"R13,R18",2,49.9k,C4117233,CRCW060349K9FKEC
R19,1,4.7k,C23162,CRCW06034K70FKEA
"R20,R21",2,2.2k,C844925,CRCW06032K20FKEA
R23,1,301k,C273742,RC0603FR-07301KL
R24,1,51.1k,C844575,CRCW060351K1FKEA
R26,1,78.7k,C3961380,RC0603DR-0778K7L
R27,1,2.21k,C705758,RT0603BRD072K21L
R28,1,187k,C2085290,CRCW0603187KFKEA
R29,1,10k,C843841,CRCW060310K0FKEI 
